기업명,대표자명,주소,스마트공장 전문분야,스마트공장 전문업종,공급기업 전문업종
(주)디피니트,김도환,"서울특별시 마포구 월드컵로14길 28 (서교동, 고래빌딩)",제조빅데이터/제조AI,미등록,"펄프. 종이 및 종이제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 자동차 및 트레일러 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 아티젠스페이스,서영선,서울특별시 강남구 테헤란로43길 8 (역삼동),PLM/PDM,MES/POP/APS,"전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 딥아이,김기수,울산광역시 울주군 언양읍 유니스트길 50,제조빅데이터/제조AI,QMS/CMMS,기타 제품 제조업
주식회사 경안써머텍,엄상수,경기도 화성시 팔탄면 온천로 528-8,산업용로봇,"제어시스템/컨트롤러, ERP, MES/POP/APS, 제조빅데이터/제조AI","금속 가공제품 제조업; 기계 및 가구 제외, 기타 기계 및 장비 제조업, 기타 제품 제조업"
(주)임팩티브에이아이,정두희,경상북도 포항시 북구 흥해읍 한동로 558,제조빅데이터/제조AI,미등록,"식료품 제조업, 음료 제조업, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 비금속 광물제품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 자동차 및 트레일러 제조업"
(주)비앤디컨설팅,이오상,부산광역시 동구 고관로 5 (초량동),컨설팅/사이버보안,미등록,"섬유제품 제조업; 의복 제외, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 자동차 및 트레일러 제조업"
주식회사 데이타트렌드,표성수,서울특별시 마포구 양화로 183 (동교동),제조빅데이터/제조AI,미등록,인쇄 및 기록매체 복제업
(주)레벤그리다한국문화다양성연구원,강현주,부산광역시 남구 신선로 365 (용당동),ERP,SCM/WMS,"전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 제품 제조업"
(주)에프엠코리아스,성민경,경기도 용인시 기흥구 중부대로 184 (영덕동),스마트장비,미등록,식료품 제조업
아이디비 주식회사,민보경,서울특별시 강남구 테헤란로 216 (역삼동) 12층 112호,제조빅데이터/제조AI,미등록,"식료품 제조업, 음료 제조업, 고무 및 플라스틱제품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 산업용 기계 및 장비 수리업"
주식회사 에이스이앤티,김대환,울산광역시 남구 테크노산업로81번길 14 (두왕동),PLM/PDM,미등록,"1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)뉴젠아이엔에스,박상규,부산광역시 해운대구 센텀중앙로 60 (우동),제조빅데이터/제조AI,AR/VR/MR,"기타 기계 및 장비 제조업, 기타 운송장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)코어스,박진호,경기도 용인시 기흥구 중부대로 579(구갈동) 508-H03호,MES/POP/APS,SCM/WMS,금속 가공제품 제조업; 기계 및 가구 제외
데이콘인피니티,이장호,서울특별시 영등포구 문래북로 116(문래동3가) 703~704호,제조빅데이터/제조AI,미등록,"식료품 제조업, 음료 제조업, 담배 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 펀리햅,안영상,전북특별자치도 전주시 덕진구 만성북로 21-26 (만성동),제조빅데이터/제조AI,미등록,기타 기계 및 장비 제조업
주식회사 웨인,박성빈,인천광역시 연수구 컨벤시아대로 204 (송도동),MES/POP/APS,"클라우드컴퓨팅, AR/VR/MR",전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업
(주)이노킵,손형민,경기도 성남시 수정구 창업로40번길 20 (시흥동),QMS/CMMS,미등록,"식료품 제조업, 음료 제조업, 담배 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
에잇핀,박규태,경기도 성남시 분당구 판교로289번길 20 (삼평동),제조빅데이터/제조AI,MES/POP/APS,"식료품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업"
(주)리코시스템,정원근,울산광역시 중구 종가로 15 (다운동),MES/POP/APS,미등록,"고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)프로티앤씨,김종태,경기도 화성시 세자로396번길 57 (안녕동),제어시스템/컨트롤러,"산업용로봇, 스마트장비, 식별시스템/머신비전, 센서/액추에이터, 통신네트워크장비","의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 산업용 기계 및 장비 수리업"
(주)사이버라인,백해기,서울특별시 서초구 사임당로 173 (서초동),PLM/PDM,제조빅데이터/제조AI,"화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 1차 금속 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 기타 제품 제조업"
주식회사 뉴젠스,"임영필, 김재일",경기도 과천시 과천대로7길 20 (갈현동),통신네트워크장비,컨설팅/사이버보안,전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업
이우코퍼레이션 주식회사,이천구,경기도 성남시 분당구 대왕판교로 670 (삼평동),MES/POP/APS,"제어시스템/컨트롤러, SCM/WMS, QMS/CMMS, 제조빅데이터/제조AI","금속 가공제품 제조업; 기계 및 가구 제외, 기타 제품 제조업"
스마트마인드 주식회사,이상수,서울특별시 강남구 삼성로104길 17 (삼성동),제조빅데이터/제조AI,미등록,전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업
(주)에이시에스,김상하,서울 금천구 가산동 371-6 가산비즈니스센터 8층,MES/POP/APS,"센서/액추에이터, SCM/WMS","식료품 제조업, 음료 제조업, 담배 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 인쇄 및 기록매체 복제업, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업"
테솔로,김영진,인천광역시 연수구 컨벤시아대로 165(송도동) 포스코타워 26층 브이454호,산업용로봇,"스마트장비, 제어시스템/컨트롤러, 센서/액추에이터, 제조빅데이터/제조AI","식료품 제조업, 음료 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 가구 제조업, 기타 제품 제조업"
에스포텍,변상일,대구광역시 달성군 다사읍 세천북로18길 42-5,산업용로봇,미등록,"기타 기계 및 장비 제조업, 기타 제품 제조업"
(주)비즈플러그,윤영권,서울특별시 강서구 양천로47길 40 (마곡동),제조빅데이터/제조AI,ERP,"식료품 제조업, 음료 제조업, 담배 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
에프티에스 주식회사,김상규,서울특별시 송파구 올림픽로 493 (풍납동),스마트장비,"제어시스템/컨트롤러, 센서/액추에이터, CPS/디지털트윈","기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 틸다,정지량,서울특별시 서초구 매헌로 16 (양재동),제조빅데이터/제조AI,미등록,"식료품 제조업, 음료 제조업, 펄프. 종이 및 종이제품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 제품 제조업"
블루마린시스템(주),이광수,부산광역시 강서구 화전산단5로 15 (화전동),MES/POP/APS,미등록,"기타 기계 및 장비 제조업, 기타 제품 제조업"
주식회사 큐링스(Q-Lynx),강민석,경기도 용인시 기흥구 강남로 9 (구갈동),MES/POP/APS,ERP,"전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 제품 제조업"
(주)이앤지테크,양승해,강원특별자치도 춘천시 후석로420번길 7 (후평동),MES/POP/APS,"스마트장비, ERP, 클라우드컴퓨팅, 제조빅데이터/제조AI","식료품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 넥스에이아이티,허현숙,"경상남도 김해시 주촌면 소망길 88, 202호 (경남테크노파크 시험생산동 1) ",MES/POP/APS,"스마트장비, 제어시스템/컨트롤러, 통신네트워크장비, ERP, PLM/PDM, SCM/WMS, FEMS, QMS/CMMS","식료품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 산업용 기계 및 장비 수리업"
주식회사 C&S ICT,최상현,서울특별시 금천구 서부샛길 606 (가산동),MES/POP/APS,"스마트장비, 제어시스템/컨트롤러, 제조빅데이터/제조AI","펄프. 종이 및 종이제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 의료. 정밀. 광학 기기 및 시계 제조업"
주식회사 에프원테크,윤형규,경기도 안성시 양성면 만세로 712,산업용로봇,미등록,기타 기계 및 장비 제조업
(주)교은테크,천혜숙,경기도 화성시 봉담읍 복만터길 14,스마트장비,"산업용로봇, 식별시스템/머신비전","금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업"
에스피앤지(주),이정림,부산광역시 사상구 가야대로213번길 9(주례동),FEMS,미등록,"고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업"
